id_realizacao;tipo_dia;penetracao_pct;pv_unidades;pv_potencia_total_kw;bess_unidades;bess_potencia_total_kw;razao_bess_pv
1;nublado;100,0;5;1769,01;5;619,16;0,35
2;ceu_aberto;100,0;5;1769,0;5;619,15;0,35
3;ceu_aberto;100,0;5;1769,0;5;619,15;0,35
4;parcialmente_nublado;100,0;5;1768,99;5;619,16;0,35
5;ceu_aberto;100,0;5;1769,0;5;619,16;0,35
6;ceu_aberto;100,0;5;1769,0;5;619,15;0,35
7;parcialmente_nublado;100,0;5;1769,0;5;619,15;0,35
8;ceu_aberto;100,0;5;1768,99;5;619,14;0,35
9;ceu_aberto;100,0;5;1769,0;5;619,15;0,35
10;nublado;100,0;5;1769,01;5;619,15;0,35
11;parcialmente_nublado;100,0;5;1769,0;5;619,15;0,35
12;nublado;100,0;5;1768,99;5;619,15;0,35
13;parcialmente_nublado;100,0;5;1768,99;5;619,15;0,35
14;parcialmente_nublado;100,0;5;1769,0;5;619,16;0,35
15;ceu_aberto;100,0;5;1769,01;5;619,15;0,35
16;parcialmente_nublado;100,0;5;1768,99;5;619,15;0,35
17;parcialmente_nublado;100,0;5;1769,0;5;619,14;0,35
18;ceu_aberto;100,0;5;1768,99;5;619,15;0,35
19;parcialmente_nublado;100,0;5;1769,0;5;619,15;0,35
20;parcialmente_nublado;100,0;5;1769,0;5;619,16;0,35
21;ceu_aberto;100,0;5;1769,0;5;619,15;0,35
22;parcialmente_nublado;100,0;5;1768,99;5;619,15;0,35
23;ceu_aberto;100,0;5;1769,01;5;619,15;0,35
24;parcialmente_nublado;100,0;5;1769,0;5;619,15;0,35
25;parcialmente_nublado;100,0;5;1769,0;5;619,15;0,35
26;ceu_aberto;100,0;5;1769,01;5;619,15;0,35
27;ceu_aberto;100,0;5;1769,01;5;619,15;0,35
28;ceu_aberto;100,0;5;1769,0;5;619,16;0,35
29;parcialmente_nublado;100,0;5;1769,01;5;619,15;0,35
30;parcialmente_nublado;100,0;5;1769,0;5;619,15;0,35
31;ceu_aberto;100,0;5;1769,0;5;619,15;0,35
32;parcialmente_nublado;100,0;5;1769,0;5;619,15;0,35
33;ceu_aberto;100,0;5;1769,0;5;619,16;0,35
34;parcialmente_nublado;100,0;5;1769,0;5;619,14;0,35
35;ceu_aberto;100,0;5;1769,0;5;619,14;0,35
36;parcialmente_nublado;100,0;5;1768,99;5;619,15;0,35
37;parcialmente_nublado;100,0;5;1769,01;5;619,15;0,35
38;parcialmente_nublado;100,0;5;1769,0;5;619,15;0,35
39;parcialmente_nublado;100,0;5;1769,0;5;619,15;0,35
40;parcialmente_nublado;100,0;5;1769,0;5;619,15;0,35
41;parcialmente_nublado;100,0;5;1769,0;5;619,14;0,35
42;nublado;100,0;5;1769,0;5;619,16;0,35
43;ceu_aberto;100,0;5;1769,0;5;619,14;0,35
44;parcialmente_nublado;100,0;5;1769,0;5;619,15;0,35
45;ceu_aberto;100,0;5;1769,01;5;619,15;0,35
46;nublado;100,0;5;1769,0;5;619,16;0,35
47;ceu_aberto;100,0;5;1769,0;5;619,15;0,35
48;parcialmente_nublado;100,0;5;1769,0;5;619,16;0,35
49;parcialmente_nublado;100,0;5;1769,0;5;619,14;0,35
50;parcialmente_nublado;100,0;5;1769,01;5;619,14;0,35
51;ceu_aberto;100,0;5;1769,01;5;619,15;0,35
52;ceu_aberto;100,0;5;1769,0;5;619,15;0,35
53;parcialmente_nublado;100,0;5;1769,0;5;619,15;0,35
54;ceu_aberto;100,0;5;1768,99;5;619,15;0,35
55;parcialmente_nublado;100,0;5;1769,01;5;619,15;0,35
56;parcialmente_nublado;100,0;5;1769,0;5;619,15;0,35
57;nublado;100,0;5;1769,0;5;619,15;0,35
58;ceu_aberto;100,0;5;1769,01;5;619,14;0,35
59;nublado;100,0;5;1769,0;5;619,14;0,35
60;parcialmente_nublado;100,0;5;1769,01;5;619,15;0,35
61;nublado;100,0;5;1768,99;5;619,15;0,35
62;ceu_aberto;100,0;5;1768,99;5;619,15;0,35
63;ceu_aberto;100,0;5;1768,99;5;619,14;0,35
64;parcialmente_nublado;100,0;5;1769,0;5;619,14;0,35
65;nublado;100,0;5;1769,0;5;619,16;0,35
66;ceu_aberto;100,0;5;1768,99;5;619,16;0,35
67;ceu_aberto;100,0;5;1769,0;5;619,15;0,35
68;parcialmente_nublado;100,0;5;1768,99;5;619,14;0,35
69;ceu_aberto;100,0;5;1768,99;5;619,15;0,35
70;parcialmente_nublado;100,0;5;1769,0;5;619,15;0,35
71;parcialmente_nublado;100,0;5;1769,0;5;619,15;0,35
72;parcialmente_nublado;100,0;5;1769,0;5;619,15;0,35
73;parcialmente_nublado;100,0;5;1768,99;5;619,15;0,35
74;parcialmente_nublado;100,0;5;1769,01;5;619,14;0,35
75;parcialmente_nublado;100,0;5;1769,0;5;619,16;0,35
76;parcialmente_nublado;100,0;5;1768,99;5;619,15;0,35
77;parcialmente_nublado;100,0;5;1769,0;5;619,14;0,35
78;parcialmente_nublado;100,0;5;1769,0;5;619,16;0,35
79;ceu_aberto;100,0;5;1769,0;5;619,14;0,35
80;ceu_aberto;100,0;5;1768,99;5;619,16;0,35
81;nublado;100,0;5;1769,0;5;619,15;0,35
82;ceu_aberto;100,0;5;1769,0;5;619,16;0,35
83;nublado;100,0;5;1769,01;5;619,13;0,35
84;ceu_aberto;100,0;5;1768,99;5;619,15;0,35
85;ceu_aberto;100,0;5;1769,01;5;619,15;0,35
86;ceu_aberto;100,0;5;1768,99;5;619,16;0,35
87;ceu_aberto;100,0;5;1769,0;5;619,16;0,35
88;ceu_aberto;100,0;5;1768,99;5;619,16;0,35
89;parcialmente_nublado;100,0;5;1768,99;5;619,15;0,35
90;ceu_aberto;100,0;5;1769,0;5;619,16;0,35
91;nublado;100,0;5;1768,99;5;619,15;0,35
92;ceu_aberto;100,0;5;1769,0;5;619,15;0,35
93;parcialmente_nublado;100,0;5;1769,0;5;619,16;0,35
94;ceu_aberto;100,0;5;1769,0;5;619,16;0,35
95;ceu_aberto;100,0;5;1769,0;5;619,14;0,35
96;ceu_aberto;100,0;5;1769,0;5;619,14;0,35
97;nublado;100,0;5;1769,0;5;619,15;0,35
98;parcialmente_nublado;100,0;5;1769,0;5;619,16;0,35
99;ceu_aberto;100,0;5;1769,0;5;619,16;0,35
100;parcialmente_nublado;100,0;5;1769,01;5;619,16;0,35
101;parcialmente_nublado;100,0;5;1769,0;5;619,16;0,35
102;nublado;100,0;5;1769,0;5;619,15;0,35
103;parcialmente_nublado;100,0;5;1769,0;5;619,15;0,35
104;ceu_aberto;100,0;5;1769,0;5;619,15;0,35
105;ceu_aberto;100,0;5;1769,01;5;619,16;0,35
106;parcialmente_nublado;100,0;5;1769,0;5;619,15;0,35
107;parcialmente_nublado;100,0;5;1769,0;5;619,15;0,35
108;ceu_aberto;100,0;5;1769,0;5;619,15;0,35
109;ceu_aberto;100,0;5;1769,0;5;619,14;0,35
110;ceu_aberto;100,0;5;1769,0;5;619,15;0,35
111;nublado;100,0;5;1769,0;5;619,16;0,35
112;ceu_aberto;100,0;5;1768,99;5;619,15;0,35
113;nublado;100,0;5;1769,0;5;619,16;0,35
114;ceu_aberto;100,0;5;1769,01;5;619,15;0,35
115;ceu_aberto;100,0;5;1768,99;5;619,15;0,35
116;ceu_aberto;100,0;5;1768,99;5;619,15;0,35
117;nublado;100,0;5;1769,0;5;619,15;0,35
118;nublado;100,0;5;1769,0;5;619,16;0,35
119;parcialmente_nublado;100,0;5;1769,0;5;619,15;0,35
120;parcialmente_nublado;100,0;5;1769,0;5;619,15;0,35
121;parcialmente_nublado;100,0;5;1769,0;5;619,15;0,35
122;parcialmente_nublado;100,0;5;1769,01;5;619,15;0,35
123;ceu_aberto;100,0;5;1769,0;5;619,14;0,35
124;parcialmente_nublado;100,0;5;1769,0;5;619,14;0,35
125;parcialmente_nublado;100,0;5;1769,01;5;619,15;0,35
126;ceu_aberto;100,0;5;1769,01;5;619,16;0,35
127;ceu_aberto;100,0;5;1769,0;5;619,16;0,35
128;parcialmente_nublado;100,0;5;1769,0;5;619,16;0,35
129;parcialmente_nublado;100,0;5;1769,01;5;619,15;0,35
130;ceu_aberto;100,0;5;1769,01;5;619,16;0,35
131;ceu_aberto;100,0;5;1769,0;5;619,15;0,35
132;ceu_aberto;100,0;5;1769,0;5;619,14;0,35
133;ceu_aberto;100,0;5;1769,0;5;619,16;0,35
134;parcialmente_nublado;100,0;5;1769,0;5;619,16;0,35
135;nublado;100,0;5;1769,0;5;619,15;0,35
136;parcialmente_nublado;100,0;5;1769,0;5;619,16;0,35
137;ceu_aberto;100,0;5;1769,01;5;619,15;0,35
138;parcialmente_nublado;100,0;5;1769,0;5;619,15;0,35
139;ceu_aberto;100,0;5;1768,99;5;619,16;0,35
140;ceu_aberto;100,0;5;1769,0;5;619,15;0,35
141;ceu_aberto;100,0;5;1769,0;5;619,15;0,35
142;parcialmente_nublado;100,0;5;1769,0;5;619,16;0,35
143;parcialmente_nublado;100,0;5;1769,0;5;619,15;0,35
144;ceu_aberto;100,0;5;1769,0;5;619,15;0,35
145;ceu_aberto;100,0;5;1769,01;5;619,15;0,35
146;ceu_aberto;100,0;5;1769,0;5;619,14;0,35
147;parcialmente_nublado;100,0;5;1769,01;5;619,16;0,35
148;ceu_aberto;100,0;5;1769,01;5;619,15;0,35
149;ceu_aberto;100,0;5;1769,01;5;619,15;0,35
150;ceu_aberto;100,0;5;1769,0;5;619,16;0,35
151;ceu_aberto;100,0;5;1768,99;5;619,14;0,35
152;ceu_aberto;100,0;5;1768,99;5;619,15;0,35
